Název,Rok,Autor,Lokalita,Technika,Rozměr,Majitel,Provenience,Inv. číslo,Značeno (petrbrandl.eu),Doloženo,Poznámka (archivní tabulka),Obrázek,Zdroj petrbrandl.eu
Poprsí apoštola (?) s gestem,kolem 1725,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",83 × 61 cm,Národní galerie v Praze,Původní není známa. Do Národní galerie v Praze byl obraz zakoupen v roce 1972.,O 12889,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2Nzc2MWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=130
Simeon s Ježíškem,po 1725,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",78 × 60 cm,Národní galerie v Praze,"Původní není známa. Obraz byl v roce 1815 zapůjčen Františkem Josefem hrabětem Šternberkem do Obrazárny Společnosti vlasteneckých přátel umění, který jej získal v roce 1816 do majetku Obrazárny. 1855 byl vrácen zeti Fr. J. hr. Šternberka hraběti Wallisovi a ten jej prodal G. Kratzmannovi. Od něho dílo odkoupil Vincenc Daněk z Esse a věnoval malbu roku 1888 Obrazárně Společnosti vlasteneckých přátel umění (pozdější Národní galerie).",O 578,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-138 | Datování dle archivní tabulky: Po 1725,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTc1MjE1NDIxMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=131
Podobizna šlechtice v bílé paruce,kolem 1725,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",65 × 50 cm,Národní galerie v Praze,"Původní není známa. Obraz je v roce 1802 evidován v majetku Františka Josefa hraběte Šternberka-Manderscheida (1763–1830). Dílo poté zdědila jeho dcera Leopoldina provdaná Sylva-Taroucová (1791–1870) a po její smrti syn Bedřich Sylva-Tarouca (1816–1881), který je 1856 natrvalo daroval Obrazárně Společnosti vlasteneckých přátel umění (pozdější Národní galerie v Praze).",O 49,Neznačeno,,Umístění dle archivní tabulky: Národní galerie v Praze | č.k. I-141 | Datování dle archivní tabulky: Kolem 1730,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzQyOWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=132
Podobizna šlechtice,kolem 1730,Petr Brandl,"Praha, Národní galerie v Praze","Olej, plátno",54 × 42 cm,Národní galerie v Praze,Obraz věnoval Obrazárně Společnosti vlasteneckých přátel umění (pozdější Národní galerie v Praze) R. Ryšavý v roce 1930.,O 1479,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzU5MWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=133
Požár Sodomy a Gomory,1698,Petr Brandl,"Praha, Národní památkový ústav – generální ředitelství",,"118 × 177,5 cm",Národní památkový ústav - generální ředitelství,"Původní není známa. Spolu s protějškovým obrazem Požár Tróje, byla před druhou světovou válkou v majetku Z. Pštrosse v Praze a poté zkonfiskován a získán do fondu Státní památkové správy (nynější Národní památkový ústav).",VII 855,Signováno vlevo dole: P. Brandl 98,,"Umístění dle archivní tabulky: Národní památkový ústav, Praha | č.k. I-142",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTQ1MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=134
Požár Tróje,1698,Petr Brandl,"Praha, Národní památkový ústav – generální ředitelství","Olej, plátno","117,5 × 177,5 cm",Národní památkový ústav - generální ředitelství,"Původní není známa. Spolu s protějškovým obrazem Požár Sodomy a Gomory, byl před druhou světovou válkou v majetku Z. Pštrosse v Praze a poté zkonfiskován a získán do fondu Státní památkové správy (nynější Národní památkový ústav).",VII 856,Neznačno,,"Umístění dle archivní tabulky: Národní památkový ústav, Praha | č.k. I-143",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTQ3NGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=135
Právní porada (svatební smlouva),kolem 1695,Petr Brandl,"Praha, Obrazárna Pražského hradu","Olej, plátno","106 × 140,7 cm",Správa Pražského hradu,"Původní není známa. Kdysi se údajně nacházel v polské sbírce hraběte Dziedusziskeho ve Lvově (Polsko), odtud jej získal Tadeusz Wiezejski a ten je prodal R. Ryšavému. Od něho se dílo dostalo do Brna do sbírky J. Hroneše, který malbu nabídl ke koupi Obrazárně Pražského hradu, která je v roce 1935 pořídila z Masarykova národního fondu.",HS 606,Signováno na listu otevřené knihy: Peter Brandl / pinxit,signováno,Umístění dle archivní tabulky: Obrazárna Pražského hradu | č.k. I-144 | Datování dle archivní tabulky: Kolem 1695,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTQ5OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=136
Sv. Pavel,před 1725,Petr Brandl,"Praha, Obrazárna Pražského hradu","Olej, plátno","91,5 × 74,2 cm",Správa Pražského hradu,Původní není známa. Obraz roku 1810 zapůjčil Josef hrabě Sweerts Obrazárně vlasteneckých přátel umění a dílo mu bylo navráceno 1857. V roce 1933 byl ze soukromého majetku (nezjištěno kterého) zakoupen pro sbírek Pražského hradu.,HS 515,Signováno vpravo dole fragmentárně: /Petr/us Brandl Pinxit,,Umístění dle archivní tabulky: Obrazárna Pražského hradu | č.k. I-145 | Datování dle archivní tabulky: Do 1725,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTEwNmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=137
Dívka kupující drůbež (Prodavač drůbeže),kolem 1730,Petr Brandl – okruh,"Praha, Strahovská obrazárna","Olej, plátno","104,5 × 142,7 cm",Královská kanonie premonstrátů na Strahově,Původní není známa.,O1460,Neznačeno,,"Umístění dle archivní tabulky: Strahovská obrazárna, Praha | č.k. I-146 | Datování dle archivní tabulky: Po 1695",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyNzc5NGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=138
Stařena kupující zajíce,kolem 1730,Petr Brandl – okruh,"Praha, Strahovská obrazárna","Olej, plátno","105,3 × 143,5 cm",Královská kanonie premonstrátů na Strahově,Původní není známa.,O 700,Neznačeno,,"Umístění dle archivní tabulky: Strahovská obrazárna, Praha | č.k. I-147 | Datování dle archivní tabulky: Po 1695",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyODM5OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=139
Sv. Pavel,před 1700,Petr Brandl,"Praha, Strahovská obrazárna","Olej, plátno","75 × 55,5 cm",Královská kanonie premonstrátů na Strahově,Původní není známa. Ve strahovské obrazárně je obraz evidován v inventáři z let 1842–1850. protějškovým obrazem je sv. Petr.,O 548,Neznačeno,,"Umístění dle archivní tabulky: Strahovská obrazárna, Praha | č.k. I-148 | Datování dle archivní tabulky: Před 1700?",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTEzMmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=140
Sv. Petr,před 1700,Petr Brandl,"Praha, Strahovská obrazárna","Olej, plátno","76 × 56,5 cm",Královská kanonie premonstrátů na Strahově,Původní není známa. Ve strahovské obrazárně je obraz evidován v inventáři z let 1842–1850. protějškovým obrazem je sv. Pavel.,O 547,Neznačeno,,"Umístění dle archivní tabulky: Strahovská obrazárna, Praha | č.k. I-149 | Datování dle archivní tabulky: Před 1700?",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTE2OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=141
Kuřák,kolem 1700,Petr Brandl,"Praha, Strahovská obrazárna","Olej, plátno",87 × 66 cm,Královská kanonie premonstrátů na Strahově,Původní není známa. Ve strahovské obrazárně je evidován v inventáři z let 1842–1850.,O 544,Neznačeno,,"Umístění dle archivní tabulky: Strahovská obrazárna, Praha | č.k. I-150 | Datování dle archivní tabulky: Kolem 1700",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyODE0OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=142
Vlastní podobizna v paruce (zv. Strahovská),kolem 1703,Petr Brandl,"Praha, Strahovská obrazárna","Olej, plátno","74 × 58,8 cm",Královská kanonie premonstrátů na Strahově,Původní není známá. Obraz je ve strahovské obrazárně evidován v inventáři z let 1842–1850.,O 543,Neznačeno,,"Umístění dle archivní tabulky: Strahovská obrazárna, Praha | č.k. I-151 | Datování dle archivní tabulky: Kolem 1703",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTU1NGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=143
Sv. Josef s Ježíškem s andělem,kolem 1708,Petr Brandl,"Praha, Strahovská obrazárna","Olej, plátno","175,5 × 102,7 cm",Královská kanonie premonstrátů na Strahově,"Spolu s obrazem Umučení sv. Vavřince byl původně určen do kostela premonstrátek v Doksanech, kde byl v roce 1774 nahrazen malbami od Ludvíka Kohla. Po zrušení kláštera (1782) se dostal do obrazárny kláštera premonstrátů na Strahově.",O 546,Neznačeno,,"Umístění dle archivní tabulky: Strahovská obrazárna, Praha | č.k. I-152 | Datování dle archivní tabulky: Kolem 1708",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTA3N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=144
Umučení sv. Vavřince,kolem 1708,Petr Brandl,"Praha, Strahovská obrazárna","Olej, plátno","175,5 × 102,7 cm",Královská kanonie premonstrátů na Strahově,"Spolu s obrazem Sv. Josef s Ježíškem a andělem byl původně určen do kostela premonstrátek v Doksanech, kde byl v roce 1774 nahrazen malbami od Ludvíka Kohla. Po zrušení kláštera (1782) se dostal do obrazárny kláštera premonstrátů na Strahově.",O 545,Neznačeno,,"Umístění dle archivní tabulky: Strahovská obrazárna, Praha | č.k. I-153 | Datování dle archivní tabulky: Kolem 1708",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTMzN2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=145
Nalezení těla sv. Jana Nepomuckého,po 1720,Petr Brandl – kopie podle,"Praha, Strahovská obrazárna","Olej, plátno","90,3 × 57,5 cm",Královská kanonie premonstrátů na Strahově,Původní není známa. Ve strahovské obrazárně je evidován v inventáři z let 1842–1850.,O 719,Neznačeno,archivně doloženo,"Umístění dle archivní tabulky: Ztracené, dříve kostel sv. Kříže Většího, Praha - Staré Město | č.k. V-85 | Datování dle archivní tabulky: 1699",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyODE2N2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=146
Hlava starce v profilu,kolem 1700,Petr Brandl,"Praha, soukromá sbírka","Olej, plátno","53,3 × 45,5 cm",Soukromá sbírka,Původní není známa. Podle nápisu na rubu rámu se obraz nacházel ve sbírce majitele továrny Ignáce Kretschmera.,,Neznačeno,,Umístění dle archivní tabulky: Soukromá sbírka | č.k. I-156 | Datování dle archivní tabulky: Kolem 1700,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NDAzMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=148
Tři putti (Tři dětské postavy),kolem 1700,Petr Brandl,"Praha, soukromá sbírka","Olej, plátno","86,5 × 75 cm",Soukromá sbírka,Původní není známa.,,Neznačeno,,Umístění dle archivní tabulky: Soukromá sbírka | č.k. I-157 | Datování dle archivní tabulky: Po 1700,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyNzY0M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=149
Rodinná podobizna Ferdinanda Hroznaty hr. Kokořovského z Kokořova s dcerami a syny,kolem 1700,Petr Brandl,"Praha, soukromá sbírka","Olej, plátno",258 × 300 cm,Soukromá sbírka,"Obraz objednal Ferdinand Hroznata hr. Kokořovský z Kokořova pro své sídlo ve Žluticích. V první polovině 18. století byl přenesen do nového vybudovaného zámku Kokořovských ve Štědré. Zřejmě v 19. století se dílo dostalo na zámek ve Vizovicích a odtud bylo převezeno na zámek v Uhřicích. Po roce 1945 se nacházel na zámku v Miloticích a následně byl v restituci navrácen majiteli zámku Uhřice. V roce 2001 portrét odkoupil soukromý sběratel, který jej prodal v aukci síně Arthouse Hejtmánek (13.6.2013) a portrét se dostal opět do držení soukromého majitele.",,Signováno vlevo dole: Petrus Brandl pinx 170?,archivně doloženo,"Umístění dle archivní tabulky: Praha, soukromá sbírka | č.k. I-158 | Datování dle archivní tabulky: 1705",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyODMxNmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=150
Svatá Rodina,po 1705,Petr Brandl,"Praha, soukromá sbírka","Olej, plátno","100 × 77,5 cm",Soukromá sbírka,"Původní není známa. Obraz v roce 1879 získal Hugo Toman, později jeho syn Prokop. Dílo poté odkoupil Prof. Jaromír Neumann a později se dostalo do soukromého majetku v Praze.",,Neznačeno,,Umístění dle archivní tabulky: Soukromá sbírka | č.k. I-159 | Datování dle archivní tabulky: Po 1705,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTQxNGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=151
Nanebevzetí Panny Marie,asi 1728,Petr Brandl,"Praha, soukromá sbírka","Olej, plátno",106 × 61 cm,Soukromá sbírka,"Obraz je přípravným modelletem pro obraz určený na hlavní oltář konventního kostela cisterciáků v Sedlci u Kutné Hory, který objednal opat Ota Zahrádecký.",,Neznačeno,"signováno, datováno, archivně doloženo","Umístění dle archivní tabulky: Kostel sv. Vavřince, Vysoké Mýto | č.k. I-176 | Datování dle archivní tabulky: 1728",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyODE5NmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=152
Nanebevzetí Panny Marie (Assumpta),1725 až 1730,Petr Brandl – dílna,"Praha, soukromá sbírka","Olej, plátno","152 × 113,5 cm",Soukromá sbírka,"Obraz se nacházel v budově arciděkanství v Hradci Králové, v roce 1990 jej děkan Jonáš prodal do soukromého majetku.",,Neznačeno,,"Umístění dle archivní tabulky: Kostel sv. Josefa, Praha - St. Město | č.k. I-82 | Datování dle archivní tabulky: 1710",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyNzUyOGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=153
Smrt sv. Františka Xaverského,1710 až 1715,Petr Brandl,"Prostějov, Muzeum a galerie v Prostějově","Olej, plátno","127,5 × 90,2 cm",Muzeum a galerie v Prostějově,"Původní není známa; v roce 1796 byl obraz na dobu deseti let zapůjčen ze sbírky Františka Josefa hraběte Šternberk-Manderschied (1763–1830) do Obrazárny Společnosti vlasteneckých přátel umění; 1854 obraz zdědila dcera hraběte Marie Leopoldina provdaná Sylva-Tarroucová (1791–1870); malíř Josef Mánes pak dílo vytipoval k vystavení na rodovém zámku Sylva-Tarrouců v Čechách pod Kosířem, odkud se dostal do muzea v Prostějově.",O 638,Neznačeno,,Umístění dle archivní tabulky: Muzeum a galerie v Prostějově | č.k. I-162 | Datování dle archivní tabulky: 1710–1715,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyODM4MGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=154
Kristus na hoře Olivetské,kolem 1720,Petr Brandl,"Sacramento (USA), The Crocker Art Museum","Olej, plátno","80,9 × 56,8 cm","The Crocker Art Museum, Sacramento","Obraz se původně nacházel v zámecké kapli v Lysé nad Labem. Tamní zámek vlastnil rod Černínů, který jej prodal Františku Antonínu hraběti Šporkovi. 1796 se dostal do majetku Františka hraběte Šternberka, který jej zapůjčil do obrazárny Společnosti vlasteneckých přátel umění; 1847 jej dal hrabě do dražby v Drážďanech; 1871 byl získán E. B. Crockerem do Crocker Art Museum.",1872/458,signováno vpravo dole: P. Brandl pinxit,,Umístění dle archivní tabulky: Museum | č.k. I-20 | Datování dle archivní tabulky: Kolem/po 1720,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyODEyOGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=155
Klanění tří králů,1727,Petr Brandl,"Smiřice, zámecká kaple Zjevení Páně","Olej, plátno",470 × 270 cm,Městský úřad Smiřice,"Obraz do zámecké kaple pravděpodobně objednala kněžna Marie Terezie Violanta Šternberková, provdaná Paarová (1699–1761).",,Signováno vpravo od středu na stupni: PETRUS BRANDL. Pinxit. A 1727,"signováno, datováno","Umístění dle archivní tabulky: Zámecká kaple, Smiřice | č.k. I-104",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyNzg3OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=156
Sv. Blažej uzdravuje nemocnou dívku,1727,Petr Brandl,"Smiřice, zámecká kaple Zjevení Páně","Olej, plátno",164 × 116 cm,Městský úřad Smiřice,"Obraz do zámecké kaple spolu s obrazem Klanění Tří králů pravděpodobně objednala kněžna Marie Terezie Violanta Šternberková, provdaná Paarová (1699–1761).",,Neznačeno,,"Umístění dle archivní tabulky: Zámecká kaple, Smiřice | č.k. I-105",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyODk5NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=157
Sv. Josef s Ježíškem,1705 až 1710,Petr Brandl,"Soukromá sbírka, lokace neznámá","Olej, plátno","81,9 × 69 cm",Soukromá sbírka,Původní není známa. V roce 1911 byl vystaven na výstavě P. Brandla jako majetek Josefa Vávry – ředitele měšťanských škol v Ivančičích na Moravě. Později se dostal do jiného soukromého majetku (nezjištěno). V roce 2014 se dražil v aukční síni Fine Antiques Prague a odtud se dostal do soukromého majetku.,,Signováno vlevo dole: P. Brandl pinxit,signováno,Umístění dle archivní tabulky: Soukromá sbírka | č.k. I-166 | Datování dle archivní tabulky: 1705–1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTA1NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=158
Hlava apoštola,kolem 1710,Petr Brandl,"Soukromá sbírka, lokace neznámá","Olej, plátno","57 × 43,2 cm",Soukromá sbírka,Původní není známa. V roce 1798 obraz zapůjčil do obrazárny Společnosti vlasteneckých přátel umění Antonín kníže Lobkovic (ovšem jako dílo Johanna Fibinga). 1852 byl obraz na lobkovickém sídle na zámku v Mělníce. 10. 11. 2010 vydražen aukční síní 1. art Consulting Brno–Praha (číslo položky 2).,,Neznačeno,,Umístění dle archivní tabulky: Soukromá sbírka (neznámá lokace) | č.k. I-167 | Datování dle archivní tabulky: Kolem 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyNzgxM2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=159
David s hlavou Goliášovou,po 1710,Petr Brandl,"Lokace neznámá, zřejmě soukromá sbírka v České republice.","Olej, plátno","141 × 107,5 cm",Soukromá sbírka,Původní není známa. V roce 1807 obraz zapůjčil do obrazárny Společnosti vlasteneckých přátel umění Antonín Isidor kníže Lobkovic. 1852 byl obraz na lobkovickém sídle na zámku v Mělníce. 25. 11. 2009 vydražen aukční síní 1. art Consulting Brno – Praha (kód položky 31680).,,Neznačeno,,"Umístění dle archivní tabulky: Soukromá sbírka (lokace neznámá, původně Lobkovicové Mělník) | č.k. I-168 | Datování dle archivní tabulky: Po 1710",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyNzcxN2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=160
Zvěstování Panně Marii,1697,Petr Brandl,"Svatá Hora, klášter redemptoristů","Olej, plátno","235 × 132,5 cm",Arcibiskupství pražské,Obraz pro Pražskou kapli v jezuitském areálu poutního místa na Svaté Hoře objednal magistrát Prahy-Starého Města v roce 1697.,,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTY1OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=161
Zvěstování Panně Marii: Archanděl Gabriel,kolem 1705,Petr Brandl,"Teplá, klášter premonstrátů","Olej, plátno","47,4 × 35,3 cm",Kanonie premonstrátů Teplá,Původní není známa.,,Neznačeno,,"Umístění dle archivní tabulky: Klášter premonstrátů, Teplá | č.k. I-171 | Datování dle archivní tabulky: Kolem 1705 (?)",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTU4MmpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=162
Zvěstování Panně Marii: Panna Marie,kolem 1705,Petr Brandl,"Teplá, klášter premonstrátů","Olej, plátno","47 × 35,3 cm",Kanonie premonstrátů Teplá,Původní není známa.,,Neznačeno,,"Umístění dle archivní tabulky: nezvěstné, dříve zámecká obrazárna Rychnov n. Kněžnou | č.k. V-205 | Datování dle archivní tabulky: Po 1695",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTU5NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=163
Sv. Jakub Větší,1727 až 1728,Petr Brandl,"Úpice, kostel sv. Jakuba","Olej, plátno",274 × 140 cm,Biskupství královéhradecké,Obraz byl Brandlem malován v Hradci Králové a do kostela sv. Jakuba Většího v Úpici donesen roku 1727.,,Neznačeno,archivně doloženo,Umístění dle archivní tabulky: Kostel Úpice | č.k. I-173 | Datování dle archivní tabulky: 1727–1728,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTAyMGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=164
Sv. Petr,1700 až 1705,Petr Brandl,"Vídeň, soukromá sbírka","Olej, plátno",75 × 52 cm,Soukromá sbírka,Původní není známa.,,Neznačeno,,Umístění dle archivní tabulky: Soukromá sbírka Vídeň | č.k. I-174 | Datování dle archivní tabulky: 1700–1705,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NTU4OGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=165
Vlastní podobizna (zv. Vídeňská),1705 až 1710,Petr Brandl,"zřejmě Vídeň, soukromá sbírka","Olej, plátno","61,7 × 48,3 cm",Soukromá sbírka,Původní není známa.,,"Na rubu plátna bylo před rentoilováním označení: BRANDL, na slepém rámu je číslo aukční síně Dorotheum: Dep. N. 22935 a staré číslo 20",,"Umístění dle archivní tabulky: Soukromá sbírka, Vídeň | č.k. I-175 | Datování dle archivní tabulky: 1705–1710",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMTI1M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=166
Nanebevzetí Panny Marie,1728,Petr Brandl,"Vysoké Mýto, kostel sv. Vavřince","Olej, plátno","703,5 × 296 cm",Biskupství královéhradecké,"Obraz původně zdobil hlavní oltář konventního kostela cisterciáků v Sedlci u Kutné Hory, který objednal opat Ota Zahrádecký za cenu 4000 zlatých. 1784 byl klášter spolu s kostelem zrušen a jeho vybavení rozprodáno – Brandlova malba byla v roce 1787 zakoupena do kostela sv. Vavřince ve Vysokém Mýtu.",,Signováno vpravo dole: Petrus. Brandl: pinxit: Anno. 1728,,"Umístění dle archivní tabulky: Slezské zemské muzeum, Opava | č.k. I-74 | Datování dle archivní tabulky: Asi 1709",http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyODIyMGpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=167
Uzdravení slepého Tobiáše,kolem 1710,Petr Brandl,"Vyšší Brod, cisterciácký klášter – obrazárna","Olej, plátno","134 × 149,3 cm",Cisterciácké opatství Vyšší Brod,"Původní není známa. Kdy se dílo dostalo do obrazárny cisterciáckého kláštera, kde je písemně evidováno v roce 1888, není známo.",,Neznačeno,,Umístění dle archivní tabulky: Klášter Vyšší Brod | č.k. I-177 | Datování dle archivní tabulky: Kolem 1710,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTQ0NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=168
Tři ženy a lovec,před 1720,Petr Brandl,"Vyšší Brod, klášterní obrazárna","Olej, plátno","130 × 144,5 cm",Cisterciácké opatství Vyšší Brod,"Obraz objednal František Josef hrabě Černín (1697–1733) v roce 1721 za cenu 600 zlatých. Kdy se dílo dostalo do obrazárny cisterciáckého kláštera, kde je písemně evidováno v roce 1888, není známo.",,Neznačeno,archivně doloženo,Umístění dle archivní tabulky: Obrazárna cisterciáckého kláštera Vyšší Brod | č.k. I-178 | Datování dle archivní tabulky: Před 1720,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTM4M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=169
Umučení sv. Vavřince,po 1708,Petr Brandl,"Londýn, sbírka C. M. Lawrence","Kresba perem, hnědým tónem lavírovaná na nažloutlém papíře",,"Sbírka C. M. Lawrence, Londýn",,,Značeno vpravo dole dodatečně: Petr Brandl fecit / et invenit:,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMTExMWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=170
Klečící světec (sv. Petr),kolem 1711,Petr Brandl - připsáno,"Austin (Texas), Blanton Museum of Art",Kresba černou a bílou křídou a hnědou olejovou barvou /emulzí/ na papíře,294 × 190 mm,"Sbírka Suida-Manning, New York","Původní není známa. Kresba byla v majetku Wilhema Suidy-Manning (1877–1959) a jeho manželky Eugénie, nyní je chována v Blanton Museum of Art.",,Neznačeno,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMjM4NWpwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=174
Studie k poprsí Panny Marie,po 1710,Petr Brandl (?),"Norimberk, Germanisches Museum",Kresba černou křídou na modrošedém papíře,272 × 175 mm,Germanisches Nationalmuseum Norimberk,,BR. 4520 HZ 4059,Dodatečně vlevo dole perem hnědým tónem: Peter Brandl,,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NjQ4M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=175
Sv. Josef s Ježíškem a Panna Marie,asi 1697,Petr Brandl,"Praha, Národní archiv","Kresba perem a štětcem, hnědě lavírovaná na nažloutlém papíře",310 × 183 mm,Národní archiv,,KP 80,"Na soklu: Petrus Brandl fe, v rozích dodatečně vepsán letopočet 17/20",,,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ4OTUwMTA1M2pwZzI=.jpg,http://petrbrandl.eu/katalog-del/detail-dila/?id=176
