id,nazev,autor,puvodni_url,soubor
98,Setkání sv. Vojtěcha s knížetem Boleslavem II. u břevnovské studánky (založení Břevnovského kláštera),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTU5M2pwZzI=.jpg,0098_setkani-sv-vojtecha-s-knizetem-boleslavem-ii-u-brevnovske-studanky-zalozeni-brevnovskeho-klastera.jpg
99,Smrt poustevníka Vintíře,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTYyMmpwZzI=.jpg,0099_smrt-poustevnika-vintire.jpg
100,Sv. Prokop nutí ďábla orat,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTY1OGpwZzI=.jpg,0100_sv-prokop-nuti-dabla-orat.jpg
101,Zavraždění sv. Václava,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTY4N2pwZzI=.jpg,0101_zavrazdeni-sv-vaclava.jpg
102,Nalezení a převezení ostatků sv. Otmara z ostrova Werd do svatohavelského kláštera (Oslavení sv. Otmara),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTY2OTMxMzAxM2pwZzI=.jpg,0102_nalezeni-a-prevezeni-ostatku-sv-otmara-z-ostrova-werd-do-svatohavelskeho-klastera-oslaveni-sv-otmara.jpg
103,Smrt sv. Benedikta,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTcxNWpwZzI=.jpg,0103_smrt-sv-benedikta.jpg
104,Ukřižování s Pannou Marií Bolestnou,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTc1MGpwZzI=.jpg,0104_ukrizovani-s-pannou-marii-bolestnou.jpg
105,Klanění pastýřů,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTA5NmpwZzI=.jpg,0105_klaneni-pastyru.jpg
106,Klanění tří králů,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTc0MTExOGpwZzI=.jpg,0106_klaneni-tri-kralu.jpg
107,Uzdravení slepého Tobiáše,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NzIzMmpwZzI=.jpg,0107_uzdraveni-slepeho-tobiase.jpg
108,Panna Marie s Ježíškem,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NzQ2M2pwZzI=.jpg,0108_panna-marie-s-jeziskem.jpg
109,Sv. Antonín Paduánský s Ježíškem,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzkwNWpwZzI=.jpg,0109_sv-antonin-paduansky-s-jeziskem.jpg
111,Jákob přijímá Josefovo zkrvavené roucho,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzE0MWpwZzI=.jpg,0111_jakob-prijima-josefovo-zkrvavene-roucho.jpg
112,Kimon a Pera (Caritas Romana),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzMyMmpwZzI=.jpg,0112_kimon-a-pera-caritas-romana.jpg
113,Vlastní podobizna (zv. Lobkovická),Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTgyOTUxNWpwZzI=.jpg,0113_vlastni-podobizna-zv-lobkovicka.jpg
114,Podobizna staršího muže v hnědém plášti,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzczMGpwZzI=.jpg,0114_podobizna-starsiho-muze-v-hnedem-plasti.jpg
115,Zvěstování Panně Marii: Panna Marie,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTc1MjE1MzUwMWpwZzI=.jpg,0115_zvestovani-panne-marii-panna-marie.jpg
116,Zvěstování Panně Marii: Archanděl Gabriel,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2ODEwMmpwZzI=.jpg,0116_zvestovani-panne-marii-archandel-gabriel.jpg
117,Kající se Máří Magdaléna,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzE1OWpwZzI=.jpg,0117_kajici-se-mari-magdalena.jpg
118,Lot a jeho dcery,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzM0N2pwZzI=.jpg,0118_lot-a-jeho-dcery.jpg
119,Podobizna šlechtice v modrém plášti,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzYxNWpwZzI=.jpg,0119_podobizna-slechtice-v-modrem-plasti.jpg
120,Sv. Pavel,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2ODAzNWpwZzI=.jpg,0120_sv-pavel.jpg
121,Sv. Petr,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3OTk3ODcwOGpwZzI=.jpg,0121_sv-petr.jpg
122,Podobizna mladého muže s gestem na prstech,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ5MDI3NzY2N2pwZzI=.jpg,0122_podobizna-mladeho-muze-s-gestem-na-prstech.jpg
123,Hlava apoštola,Petr Brandl – okruh,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzEyMmpwZzI=.jpg,0123_hlava-apostola.jpg
124,Návrat ztraceného syna,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzM4OGpwZzI=.jpg,0124_navrat-ztraceneho-syna.jpg
126,Podobizna staršího muže,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzY0OWpwZzI=.jpg,0126_podobizna-starsiho-muze.jpg
128,Podobizna muže,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzUzMWpwZzI=.jpg,0128_podobizna-muze.jpg
129,Vlastní podobizna s gestem rukou,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2ODA2MmpwZzI=.jpg,0129_vlastni-podobizna-s-gestem-rukou.jpg
130,Poprsí apoštola (?) s gestem,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2Nzc2MWpwZzI=.jpg,0130_poprsi-apostola-s-gestem.jpg
131,Simeon s Ježíškem,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTc1MjE1NDIxMmpwZzI=.jpg,0131_simeon-s-jeziskem.jpg
132,Podobizna šlechtice v bílé paruce,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzQyOWpwZzI=.jpg,0132_podobizna-slechtice-v-bile-paruce.jpg
133,Podobizna šlechtice,Petr Brandl,http://petrbrandl.eu/lib/mod/brandl/data/hires-temp/public/MTQ3ODI2NzU5MWpwZzI=.jpg,0133_podobizna-slechtice.jpg
