handy_id,Title,Author,ISBN
224,Kapitoly z dějin mezinárodních vztahů 1648 - 1914,"Skřivan, Aleš",8085241579
226,Sapiens: Úchvatný i úděsný příběh lidstva,"Harari, Yuval Noah",9788073353889
227,Encyklopedie českých klášterů,"Vlček, Pavel",9788085983173
228,Královská trilogie,"Čechura, Jaroslav",9788073606343
229,Ve stínu tvých křídel: Habsburkové v českých dějinách,"Čornejová, Ivana",9788085785203
230,Dějiny českých zemí,"Pánek, Jaroslav",9788024639949
231,Navzdory závisti: Životní příběh Albrechta z Valdštejna,"Francek, Jindrich",9788086515748
232,Albion: The Origins of the English Imagination,"Ackroyd, Peter",9780099438076
233,Twilight of History,"Sand, Shlomo",9781786630223
234,"God's Shadow: The Ottoman Sultan Who Shaped the Modern World: The Untold Story of Sultan Selim, His Ottoman Empire and the Making of the Modern World.","Mikhail, Alan",9780571331932
235,Von Anfang an Europa: Die Geschichte unseres Kontinents,"Hellfeld, Matthias von",9783451385520
236,"Hebrejky. Biblické matky, démonky, královny i milenky","Fingerland, Jan",9788090873506
237,A History of the Roman Empire in 21 Women,"Southon, Emma",9780861542307
238,V Evropě,"Mak, Geert",9788087474761
239,Voyage d'un Europeen à travers le XXe siecle,"Mak, Geert",9782070774388
240,Das Jahrhundert meines Vaters,"Mak, Geert",9783442733477
241,Philip II,"Parker, Geoffrey",9780747400707
242,Faust,"Goethe, Johann Wolfgang von",9788074073762
243,Die Päpste und ihre Maler: Von Raffael bis Tizian,"Zapperi, Roberto",9783406669767
244,Spätantike und frühchristliche Kunst: Eine Einführung in die christliche Archäologie,"Sorries, Reiner",9783825235215
245,Vyplenění Říma,"Chastel, André",9788086598505
246,Kilián Ignác Dientzenhofer a umělci jeho okruhu,,8070350032
247,Tom Lake,"Patchett, Ann",9781526664297
248,Katedrála v Chartres: Francouzské umění rané a vrcholné gotiky,"Kováč, Petr",9788090429840
249,"River East, River West","Lescure, Aube Rey",9780715655627
250,This Is Happiness,"Williams, Niall",9781526609359
251,Brotherless Night,"Ganeshananthan, V.V.",9780241997673
252,Normal People: One million copies sold,"Rooney, Sally",9780571334650
253,Conversations with Friends,"Rooney, Sally",9780571333134
254,Americanah,"Adichie, Chimamanda Ngozi",9780007356348
255,The Idiot,"Batuman, Elif",9780099583172
256,Little Fires Everywhere: The New York Times Top Ten Bestseller Celeste Ng,"Ng, Celeste",9780349142920
257,Call Me By Your Name,"Aciman, André",9781786495259
258,The Bookseller of Florence: Vespasiano da Bisticci and the Manuscripts that Illuminated the Renaissance,"King, Ross",9781784709372
259,The Guns of August,"Tuchman, Barbara W.",9780345476098
260,Una historia de la guerra civil que no va a gustar a nadie,"Galán, Juan Eslava",9788408114635
261,The Spanish Civil War: A Very Short Introduction,"Graham, Helen",9780192803771
262,Una historia de España,"Pérez-Reverte, Arturo",9788466350686
263,Mythos: The Greek Myths Retold,"Fry, Stephen",9781405934138
264,All the Light We Cannot See,"Doerr, Anthony",9780007548699
265,The Goldfinch,"Tartt, Donna",9780349139630
266,Tattooist Of Auschwitz,"Morris, Heather",9781785763649
267,The Testament of Mariam,"Swinfen, Ann",9780992822842
268,Wild Game,"Brodeur, Adrienne",9781784742584
269,The Complete Winnie-the-Pooh,"Milne, A.A.",9780603562136
270,"Beautiful World, Where Are You","Rooney, Sally",9780571365432
271,Obléhání Krišnapuru,"Farrell, James Fordon",8020701605
272,Jaro na jídelním listku,"Henry, O",
273,Rosemary má děťátko - Stepfordské paničky,"Levin, Ira",
274,Komu zvoní hrana,"Hemingway, Ernest",
275,Červený pokoj,"Strindberg, August",
276,Cesta do Říma,"Moravia, Alberto",
277,Beautiful Summer (Penguin European Writers),"Pavese, Cesare",9780241983393
278,If on a Winter's Night a Traveller,"Calvino, Italo",9780749399238
279,Svíce dohořívají,"Márai, Sándor",9788086938455
280,Cesta do Indie,"Forster, E. M.",9788086938585
281,Netrpělivost srdce,"Zweig, Stefan",9788086938400
282,Milovaná,"Morrison, Toni",9788086938301
283,Modlitba pro Kateřinu Horowitzovou,"Lustig, Arnošt",9788086938240
284,Milenec,"Duras, Marguerite",9788086938363
285,Deník bláznivého starce,"Tanizaki, Džuničiró",9788086938639
286,Nuda,"Moravia, Alberto",9788086938356
287,Z hlubin,"Atwood, Margaret",9788086938547
288,Den pro Šakala,"Forsyth, Frederick",9788086938172
289,Egypťan Sinuhet,"Waltari, Mika",
290,Zahradníkův rok - Měl jsem psa a kočku - Kalendář,"Čapek, Karel",
291,Ze společné tvorby,"Čapek, Karel",
292,Marsyas - Jak se co dělá,"Čapek, Karel",
293,Lingo: A Language Spotter's Guide to Europe,"Dorren, Gaston",9781781254172
294,"Eats, Shoots & Leaves: The Zero Tolerance Approach to Punctuation","Truss, Lynne",9781592400874
295,The Loom of Language: An Approach to the Mastery of Many Languages,"Bodmer, Frederick",9780393300345
296,Crazy for Kanji: A Student's Guide to the Wonderful World of Japanese Characters,"Kushner, Eve",9781933330204
297,Obrázkové KANDŽI,,9788090373778
298,Obrázková Hiragana,"Abe, Rika",9788090373723
299,Obrázková Katakana,"Aoi, Eri",9788090373785
300,Basic Japanese-English Dictionary,"Foundation, Japan",9780198608592
301,Read Japanese Today: The Easy Way to Learn 400 Practical Kanji (Tuttle Language Library),"Walsh, Len",9784805309810
302,Gramatika současné japonštiny: S praktickými příklady,,9788075081049
303,"Kanji Pict-O-Graphix: Over 1,000 Japanese Kanji and Kana Mnemonics","Rowley, Michael",9780962813702
304,Speak Japanese Today: A Self-Study Program for Learning Everyday Japaneae,"Kamiya, Taeko",0804815631
305,Sudoku - kandži,,
306,Italsky za 4 tydna,,9788075471871
307,Pište správně česky - poradna šílených korektorů,"Behún, Dalibor",9788074130670
308,Vo vobecný češtině a jiné příběhy,"Hrdlička, Milan",9788024632421
309,Slovník cizích slov,,
310,Slovník českých synonym (Czech Edition),"Pala, Karel",9788071060598
311,Pravidla českého pravopisu (Czech Edition),"author, unknown",
312,"Rady Čechům, jak se hravě přiučiti češtině","Eisner, Pavel",
313,Čítanka české literatury 1: Od počátků do raného obrození (9. století - první třetina 19. století),"Lehár, Jan",
314,Česká literatura 1: Od počátků do raného obrození (9. století - první třetina 19. století),"Lehár, Jan",8020206620
315,Chrám i tvrz,"Eisner, Pavel",9788075052728
316,Na co se nás často ptáte: Ze zkušeností jazykové poradny,"Černá, Anna",9788071832607
317,Dějiny českého jazyka,"Komárek, Miroslav",9788072945917
318,Pravidla českého pravopisu s výkladem mluvnice,"Šaur, Vladimír",9788071811336
319,Slovník spisovné češtiny pro školu a veřejnost (Czech Edition),,8020004939
320,Nová obchodní španělština,"Macíková, Olga",9788026608172
321,Stručná mluvnice španělštiny,"Hamplová, Sylva",
322,Diccionario Primaria. Nivel Avanzado. (Spanish Edition),"Autores, Varios",9788467531619
323,Základy ekonomické španělštiny,"Mlýnková, Ludmila",9788026610946
324,El subjuntivo 2 (Paso a Paso),"Ballesteros, Pilar Díaz",9788489756465
325,Gramática de uso del español: Teoría y práctica C1-C2 (Spanish Edition),"Aragonés, Luis",9788467521092
326,El Cronómetro C1 + CD (Spanish Edition),"Picado, Ana Isabel Blanco",9788498484120
327,El cronometro / The Timer: Manual de preparacion del DELE. Nivel C2 (Superior) / DELE Preparation Manual. Level C2 (Superior) (Spanish Edition),"Picado, Ana Isabel Blanco",9788498483154
328,¿Fiesta! 1: Španělština pro střední a jazykové školy,"Králová, Jana",9788072380855
329,¿Fiesta! 2: Španělština pro střední a jazykové školy,"Králová, Jana",9788072381234
330,Cvičebnice španělské gramatiky,"Mlýnková, Ludmila",9788026605447
331,Oxford Practice Grammar: cvičebnice anglické gramatiky,"Coe, Norman",
332,Let's study GRAMMAR: Anglická gramatika pro 2. stupeň základních škol a střední skoly,"Krajewska, Milada",9788072406586
333,English for Presentations,"Grussendorf, Marion",9788072386116
334,Rip Van Winkle,"Ottolenghi, Carol",9780769632827
335,Paul Bunyan,"Ottolenghi, Carol",9780769632834
336,Johnny Appleseed,"Ottolenghi, Carol",9780769632810
